ajoneuvoluokka;ensirekisterointipvm;ajoneuvoryhma;ajoneuvonkaytto;variantti;versio;kayttoonottopvm;vari;ovienLukumaara;korityyppi;ohjaamotyyppi;istumapaikkojenLkm;omamassa;teknSuurSallKokmassa;tieliikSuurSallKokmassa;ajonKokPituus;ajonLeveys;ajonKorkeus;kayttovoima;iskutilavuus;suurinNettoteho;sylintereidenLkm;ahdin;sahkohybridi;merkkiSelvakielinen;mallimerkinta;vaihteisto;vaihteidenLkm;kaupallinenNimi;voimanvalJaTehostamistapa;tyyppihyvaksyntanro;yksittaisKayttovoima;kunta;Co2;matkamittarilukema;alue;valmistenumero2;jarnro
M1;2013-12-03;;01;AACFFBX01;NFD6FD62E0187;20131203;2;4;AA;;5;1554;2117;;4932;1817;1497;02;1968;103;4;true;;Skoda;SUPERB Sedan (AA) 4ov 1968cm3 A;2;6;SUPERB;05;e11*01/116*0326*28;02;853;135;270637;206;TMBAE93T5E;4326018
M1;2014-08-15;;01;AFCBZAX01;NFM5FM52T10614N0;20140815;1;4;AF;;5;1221;1676;;4337;1684;1650;01;1197;63;4;true;;Skoda;ROOMSTER Monikäyttöajoneuvo (AF) 4ov 1197cm3;1;5;ROOMSTER;05;e11*01/116*0291*40;01;433;134;66463;126;TMBNM65J9E;4327753
M1;2014-06-27;;01;3D51;5A250000;20140627;0;4;AA;;5;1595;2060;;4624;1811;1434;02;1995;135;4;true;;BMW;320d xDRIVE Sedan (AA) 4ov 1995cm3 A;2;8;320d xDRIVE;05;e1*2007/46*0314*12;02;149;125;115003;102;WBA3D51040;4329307
M1;2014-04-10;131;02;;;20140410;2;5;AF;;7;1895;2380;2380;4975;1794;1861;02;1968;103;4;true;false;Volkswagen, VW;CADDY Monikäyttöajoneuvo (AF) 6ov 1968cm3 A;2;6;CADDY;05;;02;543;155;173812;019;WV2ZZZ2KZE;4330743
M1;2014-02-21;;01;M1DA1L;5CGAMC;20140221;1;4;AC;;5;1316;1900;;4709;1823;1505;01;998;92;3;true;;Ford;FOCUS Farmari (AC) 4ov 998cm3;1;6;FOCUS;05;e13*2007/46*1138*10;01;444;117;99057;081;WF0LXXGCBL;4332267
M1;2014-01-28;;01;GA211;ACBBA5A5AAAC;20140128;2;4;AC;;5;1349;1870;;4295;1770;1625;01;1590;86;4;false;;Mitsubishi;MITSUBISHI ASX Farmari (AC) 4ov 1590cm3;1;5;MITSUBISHI ASX;05;e1*2007/46*0368*08;01;698;133;32272;969;JMBXNGA1WE;4333671
M1;2013-12-04;;01;Y23JK2;FZAAA500;20080807;9;4;AC;1;5;1405;1880;1880;4263;1770;1593;01;2034;142;4;true;false;Mercedes-Benz;B 200 TURBO Farmari (AC) 4ov 2034cm3;3;;B 200 TURBO;05;e1*01/116*0314*04;01;577;195;116876;215;WDD2452341;4334969
M1;2014-01-22;;01;NSP13F(MH);NSP130L-CHFNKW(4G);20140122;6;4;AF;;5;1100;1470;;3885;1695;1510;01;1329;73;4;false;;Toyota;TOYOTA YARIS Monikäyttöajoneuvo (AF) 4ov 1329cm3;1;6;TOYOTA YARIS;05;e11*2007/46*0152*06;01;092;123;42332;012;VNKKJ3D370;4336572
M1;2014-06-17;;01;B22S;MT1;20140617;8;5;AB;;5;1245;1730;;4400;1765;1580;01;1586;88;4;false;;Suzuki;SX4 Viistoperä (AB) 5ov 1586cm3;1;5;SX4;05;e4*2007/46*0779*01;01;426;135;63543;831;TSMJYB22S0;4338106
M1;2014-01-02;;01;MV84;MV8481??;20140102;0;4;AF;;5;1477;1890;;4369;1802;1420;02;1560;84;4;true;;Volvo;V40 Monikäyttöajoneuvo (AF) 4ov 1560cm3;1;6;V40;05;e4*01/116*0076*31;02;092;88;56427;016;YV1MV8481E;4339591
M1;2014-01-03;;01;AACHHBX0;NFM6FM62Q037V2ML7;20140103;6;4;AA;;5;1425;1892;;4788;1814;1469;01;1984;162;4;true;;Skoda;OCTAVIA Sedan (AA) 4ov 1984cm3;1;6;OCTAVIA;05;e11*2007/46*0243*07;01;853;142;70503;206;TMBAE7NE6E;4341242
M1;2014-04-04;;01;DAHKC12;BA1N4FPCA5;20140404;8;5;AC;;5;1733;2300;;4913;1856;1520;02;1956;103;4;true;;Opel;INSIGNIA SPORTS TOURER SW Farmari (AC) 5ov 1956cm3;1;6;INSIGNIA SPORTS TOURER SW;05;e1*2007/46*0374*12;02;092;104;116009;013;W0LGM8ES5E;4342737
M1;2014-05-23;;01;SCJXCQ1;QD6D9006R8V817MMEM1;20140107;9;4;AB;;5;1520;2005;2005;4425;1785;1477;01;1984;221;4;true;false;Audi;S3 SPORTBACK Viistoperä (AB) 4ov 1984cm3 A;2;6;S3 SPORTBACK;05;e1*2007/46*0607*11;01;276;159;68447;811;WAUZZZ8V2E;4344179
M1;2014-05-16;;01;B5P61;M64AZ1;20140516;2;5;AB;;5;1316;1720;;4300;1780;1465;01;1591;99;4;false;;Hyundai;i 30 Viistoperä (AB) 5ov 1591cm3;1;6;i 30;05;e11*2007/46*0337*05;01;564;118;43059;908;TMAD351CAE;4345620
M1;2014-01-27;;01;PNCFB*;PNCFB0/P;20140127;0;4;AB;;4;915;1190;;3435;1630;1470;01;998;50;3;false;;Citroen;CITROEN C1 Viistoperä (AB) 4ov 998cm3 A;2;5;CITROEN C1;05;e11*01/116*0238*10;01;091;104;22219;005;VF7PNCFB0D;4346954
M1;2014-04-30;;01;CCHMZ;CCHMZ0;20140430;9;4;AB;;5;1168;1530;;3962;1739;1471;01;1199;60;3;false;;Peugeot;208 Viistoperä (AB) 4ov 1199cm3;1;5;208;05;e2*2007/46*0070*11;01;211;104;29198;362;VF3CCHMZ0D;4348694
M1;2014-08-28;;01;H2S2M1;NZAAA542;20140828;8;4;AC;;5;1735;2275;;4696;1795;1459;02;2143;125;4;true;;Mercedes-Benz;C 220 CDI 4MATIC Farmari (AC) 4ov 2143cm3 A;2;7;C 220 CDI 4MATIC;05;e1*01/116*0457*24;02;601;151;79376;448;WDD2042841;4350233
M1;2015-03-12;;01;SCDNCQ1;QD7B5013R8S607MGEM0;20100105;8;4;AB;1;4;1690;2145;2145;4855;1854;1401;01;1984;155;4;true;false;Audi;A5 Viistoperä (AB) 4ov 1984cm3 A;2;7;A5;05;e1*01/116*0430*14;01;753;174;86576;011;WAUZZZ8T5A;4351754
M1;2014-02-06;;01;3D31;5A250000;20140206;6;4;AA;;5;1505;1980;;4624;1811;1429;02;1995;135;4;true;;BMW;320d Sedan (AA) 4ov 1995cm3 A;2;8;320d;05;e1*2007/46*0314*12;02;092;118;61384;013;WBA3D31060;4353586
M1;2014-02-07;;01;5J51;6A150000;20140207;0;4;AC;;5;1915;2460;;4907;1860;1462;02;1995;135;4;true;;BMW;520d xDRIVE Farmari (AC) 4ov 1995cm3 A;2;8;520d xDRIVE;05;e1*2007/46*0455*08;02;609;138;101247;284;WBA5J51080;4355795
M1;2014-12-31;;01;ABCHYA;FM5FM5CF0097MJVR2N1SVW;20141231;9;5;AB;;4;940;1290;;3543;1645;1504;01;999;44;3;false;;Volkswagen, VW;UP! Viistoperä (AB) 5ov 999cm3;1;5;UP!;05;e13*2007/46*1167*10;01;698;95;;961;WVWZZZAAZE;4357103
M1;2014-02-04;48;01;;;20140109;;6;SD;;3;2225;2800;2800;5008;1906;1902;02;2143;70;4;true;false;Mercedes-Benz;VITO Ruumisauto (SD) 6ov 2143cm3;1;6;VITO;05;;02;710;206;82920;103;WDF6396031;4359072
M1;2014-08-23;;01;124GP2;OZAAB500;20140823;0;5;AC;;5;1395;1920;;4359;1790;1438;01;1595;90;4;true;false;Mercedes-Benz;A 180 Farmari (AC) 5ov 1595cm3 A;2;7;A 180;05;e1*01/116*0470*07;01;564;127;84209;908;WDD1760421;4360497
